,Product
0,"Одобрени КХП на лекарствени продукти, разрешени за употреба в Р.

  България"
1,
2,"търговско

  наименование:"
3,
4,"Abacavir/Lamivudine

  Mylan"
5,"Abacavir/Lamivudine

  Mylan Pbarma"
6,"Abacavir/Lamivudine

  Sandoz"
7,Abacavir/Lamivudine Vale 
8,Abizol
9,Abizol
10,Abizol
11,Abricef 
12,Abricort
13,Abricort
14,"Abricort

  N"
15,"Abricort

  N "
16,Acard 
17,Acard 
18,Acarol
19,Acarol
20,ACC
21,ACC
22,ACC
23,ACC
24,ACC
25,ACC
26,"ACC

  acute"
27,"ACC

  Acute"
28,"ACC

  Direct"
29,"ACC

  Honey and lemon"
30,"ACC

  Kid"
31,"ACC

  Syrup"
32,ACCEL
33,ACCEL
34,Accupro
35,Accupro
36,Accu-Thyrox
37,Accu-Thyrox
38,Accu-Thyrox
39,Accuzide
40,Accuzide
41,AceCys
42,AceCys
43,Aceffein 
44,Acerbine 
45,Acerbine 
46,"Acessal

  Protect"
47,Acetylin 
48,"Acetylin

  Protect"
49,"Acetylin

  С "
50,Acetysal
51,"Acetyzal

  Cardio"
52,"Acetyzal

  Cardio"
53,Acic
54,Acic
55,Aciclovir ABR 
56,"Aciclovir

  Accord"
57,"Aciclovir

  Actavis"
58,"Aciclovir

  Actavis"
59,"Aciclovir

  Actavis"
60,"Aciclovir

  AL"
61,"Aciclovir

  AL"
62,"Aciclovir

  AL"
63,Aciclovir Vision 
64,Acidwell
65,Acilesol
66,Aclexa
67,Aclexa
68,Aclotin
69,Acnatac
70,Acne Out BP 
71,Acnederm
72,Acnerin
73,Acnex 
74,Aconitum-Homaccord
75,Acrux 
76,Acrux 
77,Acrux 
78,"Acrux

  Plus"
79,"Acrux

  Plus"
80,Actalipid
81,Actalipid
82,Actalipid
83,Actamone
84,Actamone
85,Actelsar
86,Act-HIB
87,Actilyse
88,ACTILYSE
89,Activelle 
90,Actonel
91,Actovegin
92,Actovegin
93,Actovegin
94,Acuver 
95,Acviscin
96,Acviscin
97,Acyclostad
98,Acyclovir  Stada
99,Adacel
100,Adacel 
101,"ADACEL

  POLIO"
102,Adalat Eins 
103,Addven
104,Adepend
105,Adicetam 
106,Adicetam 
107,Adiflox 
108,Adolax
109,Adolax
110,Adolax
111,Adolorin
112,ADORMA
113,ADORMA
114,"Adrenaline

  Sopharma"
115,Advantan 
116,Advantan 
117,Advantan Milk 
118,Aedon
119,Aedon
120,Aero-OM
121,Aerrane 
122,Aflamil
123,Aflamil
